2016-04-28 10:23:29,277 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: BasicSecurity:pxl.be:0.0.1-SNAPSHOT @ C:\School\2tin\Basic security\Git\basic_sec_java\pxl.be\pom.xml.
2016-04-28 18:23:01,763 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-28 18:23:01,783 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2016-04-28 18:23:01,797 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-28 18:23:01,811 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\School\2tin\Basic security\Git\basic_sec_java\java_RSA_AES\src\test\resources
2016-04-28 18:23:15,974 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-28 18:23:16,016 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2016-04-28 18:23:16,019 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-28 18:23:16,039 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\School\2tin\Basic security\Git\basic_sec_java\java_RSA_AES\src\test\resources
2016-04-28 18:23:20,517 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-28 18:23:20,527 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2016-04-28 18:23:20,533 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-28 18:23:20,542 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\School\2tin\Basic security\Git\basic_sec_java\java_RSA_AES\src\test\resources
2016-04-28 18:24:00,839 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-28 18:24:00,856 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2016-04-28 18:24:00,859 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-28 18:24:00,871 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\School\2tin\Basic security\Git\basic_sec_java\java_RSA_AES\src\test\resources
2016-04-28 18:24:45,621 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-28 18:24:45,636 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2016-04-28 18:24:45,703 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-28 18:24:45,715 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\School\2tin\Basic security\Git\basic_sec_java\java_RSA_AES\src\test\resources
2016-04-28 18:24:54,857 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-28 18:24:54,866 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-04-28 18:24:54,868 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-28 18:24:54,918 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\School\2tin\Basic security\Git\basic_sec_java\java_RSA_AES\src\test\resources
2016-04-28 18:25:37,365 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-28 18:25:37,379 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2016-04-28 18:25:37,387 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-28 18:25:37,402 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\School\2tin\Basic security\Git\basic_sec_java\java_RSA_AES\src\test\resources
2016-04-28 18:26:01,073 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-28 18:26:01,081 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2016-04-28 18:26:01,082 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-28 18:26:01,096 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\School\2tin\Basic security\Git\basic_sec_java\java_RSA_AES\src\test\resources
2016-04-28 18:26:51,289 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-28 18:26:51,313 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2016-04-28 18:26:51,327 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-28 18:26:51,340 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\School\2tin\Basic security\Git\basic_sec_java\java_RSA_AES\src\test\resources
